1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
52.0909,47.40605,18.745974999999998,15.0975,14.1576,17.952625,18.740925,23.377675,26.055975,19.782875,16.908225,24.602525,28.973550000000003,29.164825,34.533325000000005,40.686975,39.067499999999995,44.215,60.8375,66.685,77.22666666666667
,,,,,,,,,,,,,,25.25,42.1675,43.47375,38.155,48.035000000000004,40.84,30.44666666666667
,,16.583,16.84575,21.62075,27.154750000000003,39.7015,34.76,37.6575,36.5475,40.582499999999996,54.2325,62.96,74.395,89.295,137.75,162.255,160.0525,115.935,145.01000000000002,163.35666666666665
2.21765,2.873325,1.477325,1.2539250000000002,1.343925,2.906075,7.285025,10.061075,20.234650000000002,18.2125,22.992125,39.0275,52.510725,85.1343,67.020375,95.184275,116.35375,108.365,152.7575,184.0925,203.9466666666667
,,,,,,,,,,,,,34.16,44.915,57.76,59.845,61.18,80.81,93.5175,76.34333333333333
5.97745,8.702725000000001,14.485325,16.376275,14.072925,13.757575,17.37755,21.87505,23.6735,19.285,20.629999999999995,31.362499999999997,38.855000000000004,40.230000000000004,59.6725,76.42750000000001,104.6775,81.21000000000001,89.39999999999999,84.525,82.37
9.8125,23.4845,18.155,6.642250000000001,6.222499999999999,11.2425,9.610000000000001,13.69,13.1025,16.265,8.0425,10.0575,15.0575,19.865000000000002,21.51,28.5175,80.0875,111.34000000000002,156.1275,368.7075,241.3233333333333
18.50295,19.663775,22.690224999999998,19.09315,19.078575,20.12135,21.227475,21.932025,26.210749999999997,26.204775,23.708375000000004,23.877025,25.005025,31.079225,35.43,41.505,45.135,40.46,50.8625,66.64999999999999,82.57
,,19.835,19.4925,20.5625,26.5825,25.2875,31.7575,39.4275,36.67,34.93,42.895,55.324999999999996,65.28,75.94749999999999,82.7975,98.3075,116.9975,132.93,157.075,184.38
12.090825,32.0586,17.125,14.086374999999999,17.682499999999997,24.767500000000002,32.253750000000004,35.9625,42.059999999999995,33.935,29.877499999999998,29.682499999999997,29.2625,34.205000000000005,50.2225,69.9975,82.7775,100.27,148.9975,239.01999999999998,279.13
,,,,,,,,,,,,,39.64,47.38250000000001,53.05500000000001,59.72875,63.225,83.73750000000001,91.335,109.95666666666666
