,firm_id,value,term_forecast,feature
0,0,0.16,1999Q1,eps_act
1,0,0.349999994,1999Q2,eps_act
2,0,0.30000001190000003,1999Q3,eps_act
3,0,0.3199999928,1999Q4,eps_act
4,0,0.2899999917,2000Q1,eps_act
5,0,0.37,2000Q2,eps_act
6,0,0.34,2000Q3,eps_act
7,0,0.6700000167,2000Q4,eps_act
8,0,0.21999999879999999,2001Q1,eps_act
9,0,0.21999999879999999,2001Q2,eps_act
10,0,-0.48,2001Q3,eps_act
11,0,0.4300000072,2001Q4,eps_act
12,0,-0.68,2002Q1,eps_act
13,0,-0.55,2002Q2,eps_act
14,0,-0.49,2002Q3,eps_act
15,0,-0.51,2002Q4,eps_act
16,0,-0.78,2003Q1,eps_act
17,0,-0.31,2003Q2,eps_act
18,0,-3.28,2003Q3,eps_act
19,0,0.03,2003Q4,eps_act
20,0,0.15,2004Q1,eps_act
21,0,0.22,2004Q2,eps_act
22,0,0.21,2004Q3,eps_act
23,0,0.19,2004Q4,eps_act
24,0,0.21,2005Q1,eps_act
25,0,0.19,2005Q2,eps_act
26,0,,2005Q3,eps_act
27,0,0.05,2005Q4,eps_act
28,0,5.95,2006Q1,eps_act
29,0,0.27,2006Q2,eps_act
30,0,0.55,2006Q3,eps_act
31,0,0.36,2006Q4,eps_act
32,0,0.37,2007Q1,eps_act
33,0,0.31,2007Q2,eps_act
34,0,0.47,2007Q3,eps_act
35,0,0.48,2007Q4,eps_act
36,0,0.32,2008Q1,eps_act
37,0,0.48,2008Q2,eps_act
38,0,0.47,2008Q3,eps_act
39,0,0.64,2008Q4,eps_act
40,0,0.18,2009Q1,eps_act
41,0,-0.29,2009Q2,eps_act
42,0,-0.06,2009Q3,eps_act
43,0,0.07,2009Q4,eps_act
44,0,0.23,2010Q1,eps_act
45,0,0.31,2010Q2,eps_act
46,0,0.59,2010Q3,eps_act
47,0,0.67,2010Q4,eps_act
48,0,0.56,2011Q1,eps_act
49,0,0.58,2011Q2,eps_act
50,0,0.95,2011Q3,eps_act
51,0,0.83,2011Q4,eps_act
52,0,0.66,2012Q1,eps_act
53,0,0.73,2012Q2,eps_act
54,0,0.7,2012Q3,eps_act
55,0,1.22,2012Q4,eps_act
56,0,0.52,2013Q1,eps_act
57,0,0.48,2013Q2,eps_act
58,0,0.5,2013Q3,eps_act
59,0,0.64,2013Q4,eps_act
60,0,0.59,2014Q1,eps_act
61,0,0.42,2014Q2,eps_act
62,0,0.44,2014Q3,eps_act
63,0,0.07,2014Q4,eps_act
64,0,0.19,2015Q1,eps_act
65,0,0.26,2015Q2,eps_act
66,0,0.33,2015Q3,eps_act
67,0,0.42,2015Q4,eps_act
68,0,0.37,2016Q1,eps_act
69,0,0.28,2016Q2,eps_act
70,0,0.38,2016Q3,eps_act
71,0,0.38,2016Q4,eps_act
72,0,0.52,2017Q1,eps_act
73,0,0.51,2017Q2,eps_act
74,0,0.55,2017Q3,eps_act
75,0,0.55,2017Q4,eps_act
