2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,0.36,0.37225,0.43,0.52925,0.29675,0.39525,0.64175,0.8137500000000001,0.7585,0.815,0.5195,0.477,0.5389999999999999,0.65025,0.7597499999999999
,,,,,,0.6286666666666666,0.92,-0.40325,0.18674999999999997,-0.13524999999999998,-0.30800000000000005,-0.25749999999999995,0.45999999999999996,0.9857499999999999,2.1985,1.5747499999999999,1.205,1.3650000000000002,1.49575
,,0.19800000000000004,0.2925,0.42525,0.4855000000000001,0.6214999999999999,0.62325,0.6515,0.70425,0.8372499999999999,1.16675,1.4165,1.46,1.7632500000000002,2.15025,2.232,2.00175,1.623,2.04675
0.029249999999999998,0.018,0.010000000000000002,0.0042499999999999994,0.008,0.030500000000000003,0.0675,0.10325,0.17225000000000001,0.1995,0.36025,0.74675,1.31125,1.6182499999999997,1.5215,1.96425,2.2385,2.20825,2.897,3.1637500000000003
,,,,,,,,,,,,,0.8130000000000001,0.78,1.0445,1.21475,1.3682499999999997,1.73575,2.1745
,,,,,0.24,0.2495,0.30725,0.36875,0.40099999999999997,0.4725,0.59725,0.704,0.77125,0.91375,1.119,1.41375,1.43675,1.573,1.71025
-0.18,-0.12874999999999998,-0.292,-0.315,-0.24,-0.013333333333333334,-0.158,-0.21175,-0.20224999999999999,-0.192,-0.17,-0.09625,-0.02475,0.08474999999999999,0.08850000000000001,0.058,0.15175,0.28125,0.49924999999999997,0.9149999999999999
0.4485,0.48075,0.55,0.5747500000000001,0.6027499999999999,0.63625,0.649,0.717,0.8047499999999999,0.9352499999999999,1.05025,1.1669999999999998,1.2662499999999999,0.85975,0.58,0.56125,0.58425,0.6200000000000001,0.7092499999999999,0.815
,,0.21150000000000002,0.25875,0.2825,0.35,0.39575,0.46425000000000005,0.6167499999999999,0.6505,0.65875,0.8109999999999999,0.9179999999999999,1.038,1.112,1.1582499999999998,1.3014999999999999,1.43725,1.60975,1.75725
0.12125,0.1545,0.1315,0.12525,0.15775,0.24974999999999997,0.3015,0.36650000000000005,0.45175,0.42125,0.446,0.55375,0.61975,0.42925,0.28900000000000003,0.51325,0.7065,0.95525,1.4962500000000003,2.01825
,,,,,0.33299999999999996,0.39525,0.41075,0.4335,0.2525,0.4605,0.6837500000000001,0.5865,0.5592499999999999,0.596,0.72225,0.773,0.94375,1.3322500000000002,1.3435
0.13274999999999998,0.17275000000000001,0.1865,0.167,0.2435,0.31899999999999995,0.4285,0.5845,0.6669999999999999,0.5735,0.6255000000000001,0.8135,0.7982499999999999,0.7014999999999999,0.83225,0.8995000000000001,0.78,0.73325,0.746,0.9675
0.3275,0.37925,0.43725,0.4195,0.37625000000000003,0.43900000000000006,0.47774999999999995,0.50275,0.53225,0.58225,0.5710000000000001,0.618,0.68175,0.7230000000000001,0.78425,0.7472500000000001,0.803,0.8672500000000001,1.0245,1.27725
,,0.15525000000000003,0.181,0.282,0.4525,0.58,0.88275,1.085,1.3042500000000001,1.5232500000000002,1.6680000000000001,2.1109999999999998,2.4595,3.1717500000000003,3.7452500000000004,4.372,4.84675,5.752750000000001,5.859249999999999
0.04425,0.10750000000000001,0.11425,0.044750000000000005,0.07375000000000001,0.18825000000000003,0.28925,0.37125,0.4635,0.43450000000000005,0.18125,0.28874999999999995,0.40775,0.47224999999999995,0.39849999999999997,0.2415,0.16199999999999998,-0.2125,-0.157,0.21975
1.27,1.075,0.8417499999999999,0.7425,0.7474999999999999,0.7472499999999999,0.7649999999999999,1.0883333333333332,0.8966666666666668,0.7000000000000001,0.59675,0.6262500000000001,0.56125,0.47574999999999995,0.5670000000000001,0.595,0.637,0.6507499999999999,0.7395,0.81825
0.6566666666666666,0.8962500000000001,0.9917499999999999,0.63075,0.56175,0.5655000000000001,0.6333333333333333,0.6984999999999999,0.765,0.7525,0.7995,0.77925,0.775,0.8065,0.813,0.83475,0.9345000000000001,0.9095,0.9802500000000001,1.00225
0.35875,0.49033333333333334,0.365,0.125,0.18,0.253,0.255,0.2995,0.2925,0.28625,0.28,0.32,0.3276666666666667,0.31825000000000003,0.33899999999999997,0.32999999999999996,0.289,0.2775,0.31225,0.353
0.14675000000000002,0.17125,0.19075,0.22449999999999998,0.27975,0.32299999999999995,0.36500000000000005,0.41075,0.4865,0.56975,0.66525,0.7635,0.81975,0.8175000000000001,0.78575,0.7757499999999999,0.80125,0.8287500000000001,0.917,1.0505
,,,,,0.365,0.371,0.341,0.4715,0.55625,0.7817500000000001,1.05025,1.4194999999999998,1.979,3.13375,4.27425,3.8767499999999995,4.13,4.0185,4.14725
,,,,,26.28,27.8685,31.557499999999997,30.677,4.6595,1.2645,0.8705,0.6877500000000001,0.846,1.0725,1.24875,1.257,1.2965,1.31425,1.1825
,,,,,,-0.14125,0.15000000000000002,-0.24799999999999997,-0.4545,-0.50925,-0.372,-0.22799999999999998,-0.027,0.07825,0.09875,0.126,0.099,0.106,0.11333333333333333
,,,,0.6525,0.7325,0.9553333333333333,1.1709999999999998,1.5165000000000002,1.49275,1.09475,1.2607499999999998,1.3907500000000002,1.39775,1.5414999999999999,1.5590000000000002,1.62475,1.6110000000000002,1.86675,2.0997500000000002
0.23750000000000002,0.33125000000000004,0.40825,0.47425000000000006,0.51025,0.53925,0.476,0.43050000000000005,0.41375,0.33175,0.38325,0.38725,0.46699999999999997,0.5645,0.62975,0.7195,0.72,0.7557499999999999,0.7825000000000001,0.96975
,,,,,,0.175,0.304,0.41475,0.4285,0.3625,0.408,0.41150000000000003,0.47975,0.5462500000000001,0.659,0.67875,0.67225,0.728,0.991
0.21950000000000003,0.278,0.202,0.23299999999999998,0.212,0.25999999999999995,0.331,0.55425,0.6920000000000001,0.6325,0.64,0.9975,1.22025,1.3725,1.16775,1.04,0.972,1.04,1.2819999999999998,1.6284999999999998
,-0.42000000000000004,-0.23925,-0.06625,0.08,0.053250000000000006,-0.053750000000000006,0.0325,0.163,0.06375,0.11775,0.2045,0.262,0.32175,0.43325,0.48650000000000004,0.53975,0.76125,1.101,1.4492500000000001
,,,,,,0.3555,0.2765,0.11075000000000002,0.1825,0.29175,0.43525,0.59475,0.6982499999999999,0.8174999999999999,1.35925,1.801,1.94275,1.6342499999999998,1.6397499999999998
0.6962499999999999,0.755,0.68675,0.7745,1.1813333333333333,1.4252500000000001,1.4934999999999998,1.7339999999999998,1.61475,1.181,1.0305,0.9275000000000001,0.91675,1.1645,1.317,1.4297499999999999,1.3780000000000001,1.5484999999999998,1.97825,2.26675
,,,,,,,,,,,,,,0.6216666666666667,0.73025,0.85075,0.931,1.09875,1.2337500000000001
,,,,,,-0.224,-0.246,-0.042666666666666665,0.12225000000000001,0.19849999999999998,0.28675,0.43025,0.7155,0.9547500000000001,1.34525,1.3245,1.36175,1.7865,2.2775
0.25975,0.23725000000000002,0.04475,0.052,0.17275000000000001,0.19124999999999998,0.23075,0.292,0.2365,0.026750000000000003,0.16025,0.34075,0.20625,0.1645,0.262,0.3255,0.34675,0.65425,1.0645,0.8049999999999999
,,,,,,,,,,,,,,,,,,,
,,,,,0.136,0.26749999999999996,0.021000000000000005,-0.23575000000000004,-0.388,-0.06924999999999999,0.12475,0.17075,-0.0165,0.03525,0.036,-0.07775,0.0125,0.07675,0.19074999999999998
