firm_id,firm
0,a
1,aal
2,aap
3,aapl
4,abbv
5,abc
6,abmd
7,abt
8,acn
9,adbe
10,adi
11,adm
12,adp
13,ads
14,adsk
15,aee
16,aep
17,aes
18,afl
19,agn
20,aig
21,aiv
22,aiz
23,ajg
24,akam
25,alb
26,algn
27,alk
28,all
29,alle
30,alxn
31,amat
32,amcr
33,amd
34,ame
35,amg
36,amgn
37,amp
38,amt
39,amzn
40,anet
41,anss
42,antm
43,aon
44,aos
45,apa
46,apd
47,aph
48,aptv
49,are
50,arnc
51,ato
52,atvi
53,avb
54,avgo
55,avy
56,awk
57,axp
58,azo
59,ba
60,bac
61,bax
62,bbt
63,bby
64,bdx
65,ben
66,bf/b
67,biib
68,bk
69,bkng
70,bkr
71,blk
72,bll
73,bmy
74,br
75,brk/b
76,bsx
77,bwa
78,bxp
79,c
80,cag
81,cah
82,cat
83,cb
84,cboe
85,cbre
86,cbs
87,cci
88,ccl
89,cdns
90,cdw
91,ce
92,celg
93,cern
94,cf
95,cfg
96,chd
97,chrw
98,chtr
99,ci
100,cinf
101,cl
102,clx
103,cma
104,cmcsa
105,cme
106,cmg
107,cmi
108,cms
109,cnc
110,cnp
111,cof
112,cog
113,coo
114,cop
115,cost
116,coty
117,cpb
118,cpri
119,cprt
120,crm
121,csco
122,csx
123,ctas
124,ctl
125,ctsh
126,ctva
127,ctxs
128,cvs
129,cvx
130,cxo
131,d
132,dal
133,dd
134,de
135,dfs
136,dg
137,dgx
138,dhi
139,dhr
140,dis
141,disca
142,disck
143,dish
144,dlr
145,dltr
146,dov
147,dow
148,dre
149,dri
150,dte
151,duk
152,dva
153,dvn
154,dxc
155,ea
156,ebay
157,ecl
158,ed
159,efx
160,eix
161,el
162,emn
163,emr
164,eog
165,eqix
166,eqr
167,es
168,ess
169,etfc
170,etn
171,etr
172,evrg
173,ew
174,exc
175,expd
176,expe
177,exr
178,f
179,fang
180,fast
181,fb
182,fbhs
183,fcx
184,fdx
185,fe
186,ffiv
187,fis
188,fisv
189,fitb
190,flir
191,fls
192,flt
193,fmc
194,fox
195,foxa
196,frc
197,frt
198,fti
199,ftnt
200,ftv
201,gd
202,ge
203,gild
204,gis
205,gl
206,glw
207,gm
208,goog
209,googl
210,gpc
211,gpn
212,gps
213,grmn
214,gs
215,gww
216,hal
217,has
218,hban
219,hbi
220,hca
221,hcp
222,hd
223,hes
224,hfc
225,hig
226,hii
227,hlt
228,hog
229,holx
230,hon
231,hp
232,hpe
233,hpq
234,hrb
235,hrl
236,hsic
237,hst
238,hsy
239,hum
240,ibm
241,ice
242,idxx
243,iex
244,iff
245,ilmn
246,incy
247,info
248,intc
249,intu
250,ip
251,ipg
252,ipgp
253,iqv
254,ir
255,irm
256,isrg
257,it
258,itw
259,ivz
260,jbht
261,jci
262,jec
263,jkhy
264,jnj
265,jnpr
266,jpm
267,jwn
268,k
269,key
270,keys
271,khc
272,kim
273,klac
274,kmb
275,kmi
276,kmx
277,ko
278,kr
279,kss
280,ksu
281,l
282,lb
283,ldos
284,leg
285,len
286,lh
287,lhx
288,lin
289,lkq
290,lly
291,lmt
292,lnc
293,lnt
294,low
295,lrcx
296,luv
297,lvs
298,lw
299,lyb
300,m
301,ma
302,maa
303,mac
304,mar
305,mas
306,mcd
307,mchp
308,mck
309,mco
310,mdlz
311,mdt
312,met
313,mgm
314,mhk
315,mkc
316,mktx
317,mlm
318,mmc
319,mmm
320,mnst
321,mo
322,mos
323,mpc
324,mrk
325,mro
326,ms
327,msci
328,msft
329,msi
330,mtb
331,mtd
332,mu
333,mxim
334,myl
335,nbl
336,nclh
337,ndaq
338,nee
339,nem
340,nflx
341,ni
342,nke
343,nlsn
344,noc
345,nov
346,nrg
347,nsc
348,ntap
349,ntrs
350,nue
351,nvda
352,nvr
353,nwl
354,nws
355,nwsa
356,o
357,oke
358,omc
359,orcl
360,orly
361,oxy
362,payx
363,pbct
364,pcar
365,peg
366,pep
367,pfe
368,pfg
369,pg
370,pgr
371,ph
372,phm
373,pkg
374,pki
375,pld
376,pm
377,pnc
378,pnr
379,pnw
380,ppg
381,ppl
382,prgo
383,pru
384,psa
385,psx
386,pvh
387,pwr
388,pxd
389,pypl
390,qcom
391,qrvo
392,rcl
393,re
394,reg
395,regn
396,rf
397,rhi
398,rjf
399,rl
400,rmd
401,rok
402,rol
403,rop
404,rost
405,rsg
406,rtn
407,sbac
408,sbux
409,schw
410,see
411,shw
412,sivb
413,sjm
414,slb
415,slg
416,sna
417,snps
418,so
419,spg
420,spgi
421,sre
422,sti
423,stt
424,stx
425,stz
426,swk
427,swks
428,syf
429,syk
430,symc
431,syy
432,t
433,tap
434,tdg
435,tel
436,tfx
437,tgt
438,tif
439,tjx
440,tmo
441,tmus
442,tpr
443,trip
444,trow
445,trv
446,tsco
447,tsn
448,ttwo
449,twtr
450,txn
451,txt
452,ua
453,uaa
454,ual
455,udr
456,uhs
457,ulta
458,unh
459,unm
460,unp
461,ups
462,uri
463,usb
464,utx
465,v
466,var
467,vfc
468,viab
469,vlo
470,vmc
471,vno
472,vrsk
473,vrsn
474,vrtx
475,vtr
476,vz
477,wab
478,wat
479,wba
480,wcg
481,wdc
482,wec
483,well
484,wfc
485,whr
486,wltw
487,wm
488,wmb
489,wmt
490,wrk
491,wu
492,wy
493,wynn
494,xec
495,xel
496,xlnx
497,xom
498,xray
499,xrx
500,xyl
501,yum
502,zbh
503,zion
504,zts
