1999_eps_fc,2000_eps_fc,2001_eps_fc,2002_eps_fc,2003_eps_fc,2004_eps_fc,2005_eps_fc,2006_eps_fc,2007_eps_fc,2008_eps_fc,2009_eps_fc,2010_eps_fc,2011_eps_fc,2012_eps_fc,2013_eps_fc,2014_eps_fc,2015_eps_fc,2016_eps_fc,2017_eps_fc,2018_eps_fc,2019_eps_fc
,,,,,,0.2776666666666667,0.39525,0.42375,0.48974999999999996,0.18425,0.452,0.69025,0.76175,0.6792499999999999,0.754,0.41825,0.4525,0.53,0.6467499999999999,0.75625
,,,,,,-1.58,0.20700000000000005,0.38225000000000003,-1.21275,-1.2710000000000001,-0.321,-0.88575,-0.382,0.64675,1.395,2.24775,1.367,1.19,1.113,1.242
,,0.0285,0.21075000000000002,0.3185,0.414,0.52,0.54375,0.5815,0.61275,0.718,0.8735,1.169,1.29025,1.33475,1.8785,2.006,1.8775,1.41375,1.68275,2.002
0.021,0.0285,-0.005749999999999999,0.00575,0.0025,0.010000000000000002,0.0415,0.07175000000000001,0.10675000000000001,0.17775000000000002,0.18624999999999997,0.4704999999999999,0.859,1.405,1.3845,1.49975,2.111,2.06475,2.1705,2.858,2.867
,,,,,,,,,,,,,,0.7625,0.767,1.0285,1.1855,1.37325,1.9307500000000002,2.18975
,,,,,,0.22799999999999998,0.25225,0.31325000000000003,0.348,0.39775,0.4955,0.5942500000000001,0.7030000000000001,0.757,0.9405,1.1212499999999999,1.3319999999999999,1.4009999999999998,1.51775,1.669
-0.11333333333333334,-0.18,-0.12874999999999998,-0.292,-0.315,-0.24,-0.013333333333333334,-0.158,-0.21175,-0.20224999999999999,-0.192,-0.17,-0.09625,-0.02475,0.08474999999999999,0.08850000000000001,0.058,0.15175,0.28125,0.49924999999999997,0.9149999999999999
0.41400000000000003,0.44425000000000003,0.47050000000000003,0.51825,0.55175,0.5745,0.6245,0.61975,0.69825,0.8114999999999999,0.9145000000000001,1.0335,1.15525,1.24825,0.48700000000000004,0.5375,0.51625,0.5382499999999999,0.605,0.7105,0.8009999999999999
,,0.1825,0.221,0.2475,0.299,0.3545,0.3895,0.46499999999999997,0.6205,0.64275,0.64925,0.8154999999999999,0.91775,1.0397500000000002,1.10975,1.155,1.30275,1.445,1.6052499999999998,1.75575
0.08574999999999999,0.1255,0.132,0.10899999999999999,0.13025,0.20325,0.26775,0.29225,0.3805,0.48675,0.373,0.4525,0.5559999999999999,0.57775,0.33849999999999997,0.27775,0.48375,0.7180000000000001,0.9955,1.63825,1.9069999999999998
,,,,,,0.318,0.3835,0.38325,0.42775,0.17575,0.54525,0.67325,0.53025,0.524,0.58875,0.719,0.7080000000000001,1.022,1.41075,1.2555
0.11575,0.12974999999999998,0.16925,0.18375000000000002,0.16725,0.24925000000000003,0.32075000000000004,0.43624999999999997,0.59525,0.6759999999999999,0.5920000000000001,0.6325,0.80775,0.54925,0.5896666666666667,0.7945,0.6863333333333334,0.5307499999999999,0.5965,0.7497499999999999,0.6539999999999999
0.283,0.326,0.37975000000000003,0.4365,0.41674999999999995,0.37675,0.44175000000000003,0.47550000000000003,0.4922500000000001,0.53875,0.5777500000000001,0.5710000000000001,0.619,0.68,0.7222500000000001,0.78425,0.72275,0.803,0.86725,1.0210000000000001,1.27725
,,0.11833333333333333,0.15025000000000002,0.19674999999999998,0.31625,0.46875,0.6347499999999999,0.8895000000000001,1.07325,1.26575,1.3975,1.68325,2.03325,2.45025,3.0200000000000005,3.6792499999999997,4.1235,4.40175,5.49625,4.36525
0.1285,0.04425,0.10750000000000001,0.11425,0.044750000000000005,0.07375000000000001,0.18825000000000003,0.28925,0.36925,0.4635,0.43450000000000005,0.18125,0.28874999999999995,0.40775,0.47224999999999995,0.39849999999999997,0.2415,0.16199999999999998,-0.2125,-0.157,0.21975
0.7185,1.0343333333333333,0.8632500000000001,0.7467500000000001,0.71625,0.68525,0.7375,0.78275,0.8699999999999999,0.715,0.621,0.592,0.6072500000000001,0.60625,0.5257499999999999,0.56325,0.6064999999999999,0.6034999999999999,0.7152500000000002,0.7487499999999999,0.796
0.7224999999999999,0.607,0.8227500000000001,0.69775,0.53975,0.561,0.57275,0.6697500000000001,0.7282500000000001,0.76725,0.68625,0.7284999999999999,0.777,0.7465,0.7995,0.7977500000000001,0.8575,0.92625,0.93025,0.94825,1.0002499999999999
