1999_eps_fc,2000_eps_fc,2001_eps_fc,2002_eps_fc,2003_eps_fc,2004_eps_fc,2005_eps_fc,2006_eps_fc,2007_eps_fc,2008_eps_fc,2009_eps_fc,2010_eps_fc,2011_eps_fc,2012_eps_fc,2013_eps_fc,2014_eps_fc,2015_eps_fc,2016_eps_fc,2017_eps_fc,2018_eps_fc,2019_eps_fc,1999_eps_act,2000_eps_act,2001_eps_act,2002_eps_act,2003_eps_act,2004_eps_act,2005_eps_act,2006_eps_act,2007_eps_act,2008_eps_act,2009_eps_act,2010_eps_act,2011_eps_act,2012_eps_act,2013_eps_act,2014_eps_act,2015_eps_act,2016_eps_act,2017_eps_act,2018_eps_act,2019_eps_act,1999_eod_act,2000_eod_act,2001_eod_act,2002_eod_act,2003_eod_act,2004_eod_act,2005_eod_act,2006_eod_act,2007_eod_act,2008_eod_act,2009_eod_act,2010_eod_act,2011_eod_act,2012_eod_act,2013_eod_act,2014_eod_act,2015_eod_act,2016_eod_act,2017_eod_act,2018_eod_act,2019_eod_act,2000_eps_fc_terms,2001_eps_fc_terms,2002_eps_fc_terms,2003_eps_fc_terms,2004_eps_fc_terms,2005_eps_fc_terms,2006_eps_fc_terms,2007_eps_fc_terms,2008_eps_fc_terms,2009_eps_fc_terms,2010_eps_fc_terms,2011_eps_fc_terms,2012_eps_fc_terms,2013_eps_fc_terms,2014_eps_fc_terms,2015_eps_fc_terms,2016_eps_fc_terms,2017_eps_fc_terms,2018_eps_fc_terms,2019_eps_fc_terms
,,,,,,0.2776666666666667,0.39525,0.42375,0.48974999999999996,0.18425,0.452,0.69025,0.76175,0.6792499999999999,0.754,0.41825,0.4525,0.53,0.6467499999999999,0.75625,0.282499999675,0.4175000021,0.09750000119999999,-0.5575,-1.085,0.1925,0.15,1.7825000000000002,0.4075,0.47750000000000004,-0.024999999999999994,0.44999999999999996,0.73,0.8274999999999999,0.535,0.38,0.3,0.35250000000000004,0.5325,0.25,0.8474999999999999,52.0909,47.40605,18.745974999999998,15.0975,14.1576,17.952625,18.740925,23.377675,26.055975,19.782875,16.908225,24.602525,28.973550000000003,29.164825,34.533325000000005,40.686975,39.067499999999995,44.215,60.8375,66.685,77.22666666666667,,,,,,0.36,0.37225,0.43,0.52925,0.29675,0.39525,0.64175,0.8137500000000001,0.7585,0.815,0.5195,0.477,0.5389999999999999,0.65025,0.7597499999999999
,,,,,,-1.58,0.20700000000000005,0.38225000000000003,-1.21275,-1.2710000000000001,-0.321,-0.88575,-0.382,0.64675,1.395,2.24775,1.367,1.19,1.113,1.242,1.625,1.3575,-2.855,-4.0525,-1.9625,-1.1800000000000002,-1.26,0.275,0.5125,-2.0808932500000004,-1.2575,-0.35250000000000004,-1.47716425,-1.39873125,-1.1775,1.0025,2.9025000000000003,1.2000000000000002,0.6425000000000001,0.76,0.9533333333333333,52.0909,47.40605,18.745974999999998,15.0975,14.1576,17.952625,18.740925,23.377675,26.055975,19.782875,16.908225,24.602525,28.973550000000003,29.164825,25.25,42.1675,43.47375,38.155,48.035000000000004,40.84,30.44666666666667,,,,,,0.36,0.6286666666666666,0.92,-0.40325,0.18674999999999997,-0.13524999999999998,-0.30800000000000005,-0.25749999999999995,0.45999999999999996,0.9857499999999999,2.1985,1.5747499999999999,1.205,1.3650000000000002,1.49575
,,0.0285,0.21075000000000002,0.3185,0.414,0.52,0.54375,0.5815,0.61275,0.718,0.8735,1.169,1.29025,1.33475,1.8785,2.006,1.8775,1.41375,1.68275,2.002,1.625,1.3575,0.0375000018675,0.1788888889,0.2833333333425,0.38333333332499997,0.48333333335,0.6166666666666667,0.5725,0.625,0.7125,1.0,1.3,1.325,1.3399999999999999,1.6875,1.6125,1.5575,1.6099999999999999,1.4375000000000002,1.83,52.0909,47.40605,16.583,16.84575,21.62075,27.154750000000003,39.7015,34.76,37.6575,36.5475,40.582499999999996,54.2325,62.96,74.395,89.295,137.75,162.255,160.0525,115.935,145.01000000000002,163.35666666666665,,,0.19800000000000004,0.2925,0.42525,0.4855000000000001,0.6214999999999999,0.62325,0.6515,0.70425,0.8372499999999999,1.16675,1.4165,1.46,1.7632500000000002,2.15025,2.232,2.00175,1.623,2.04675
0.021,0.0285,-0.005749999999999999,0.00575,0.0025,0.010000000000000002,0.0415,0.07175000000000001,0.10675000000000001,0.17775000000000002,0.18624999999999997,0.4704999999999999,0.859,1.405,1.3845,1.49975,2.111,2.06475,2.1705,2.858,2.867,0.0375892854825,0.043360455357499994,-0.0017857143024999989,0.00321428584225,0.0033928570867499995,0.01321428556375,0.058750000000000004,0.08392857142749999,0.144642857175,0.245357142875,0.32964285717499997,0.550357142875,1.0014285715,1.595,1.4253571427499998,1.6185714285,2.3125,2.08,2.3125,2.9924999999999997,2.9850000000000003,2.21765,2.873325,1.477325,1.2539250000000002,1.343925,2.906075,7.285025,10.061075,20.234650000000002,18.2125,22.992125,39.0275,52.510725,85.1343,67.020375,95.184275,116.35375,108.365,152.7575,184.0925,203.9466666666667,0.029249999999999998,0.018,0.010000000000000002,0.0042499999999999994,0.008,0.030500000000000003,0.0675,0.10325,0.17225000000000001,0.1995,0.36025,0.74675,1.31125,1.6182499999999997,1.5215,1.96425,2.2385,2.20825,2.897,3.1637500000000003
0.021,0.0285,-0.005749999999999999,0.00575,0.0025,0.010000000000000002,0.0415,0.07175000000000001,0.10675000000000001,0.17775000000000002,0.18624999999999997,0.4704999999999999,0.859,1.405,0.7625,0.767,1.0285,1.1855,1.37325,1.9307500000000002,2.18975,0.0375892854825,0.043360455357499994,-0.0017857143024999989,0.00321428584225,0.0033928570867499995,0.01321428556375,0.058750000000000004,0.08392857142749999,0.144642857175,0.245357142875,0.32964285717499997,0.550357142875,1.0014285715,0.8366345,0.645,0.27749999999999997,0.79,0.91,0.83,0.8950000000000001,1.1366666666666665,2.21765,2.873325,1.477325,1.2539250000000002,1.343925,2.906075,7.285025,10.061075,20.234650000000002,18.2125,22.992125,39.0275,52.510725,34.16,44.915,57.76,59.845,61.18,80.81,93.5175,76.34333333333333,0.029249999999999998,0.018,0.010000000000000002,0.0042499999999999994,0.008,0.030500000000000003,0.0675,0.10325,0.17225000000000001,0.1995,0.36025,0.74675,1.31125,0.8130000000000001,0.78,1.0445,1.21475,1.3682499999999997,1.73575,2.1745
0.021,0.0285,-0.005749999999999999,0.00575,0.0025,0.010000000000000002,0.22799999999999998,0.25225,0.31325000000000003,0.348,0.39775,0.4955,0.5942500000000001,0.7030000000000001,0.757,0.9405,1.1212499999999999,1.3319999999999999,1.4009999999999998,1.51775,1.669,0.0843750003725,0.12,0.135,0.2049999991,0.251250003275,0.261875,0.14,0.285,0.31625000000000003,0.19374999999999998,0.41874999999999996,0.565,0.645,0.71,0.47,0.3,-0.13750000000000007,1.695,0.4182212499999999,1.9,1.0175,5.97745,8.702725000000001,14.485325,16.376275,14.072925,13.757575,17.37755,21.87505,23.6735,19.285,20.629999999999995,31.362499999999997,38.855000000000004,40.230000000000004,59.6725,76.42750000000001,104.6775,81.21000000000001,89.39999999999999,84.525,82.37,0.029249999999999998,0.018,0.010000000000000002,0.0042499999999999994,0.008,0.24,0.2495,0.30725,0.36875,0.40099999999999997,0.4725,0.59725,0.704,0.77125,0.91375,1.119,1.41375,1.43675,1.573,1.71025
-0.11333333333333334,-0.18,-0.12874999999999998,-0.292,-0.315,-0.24,-0.013333333333333334,-0.158,-0.21175,-0.20224999999999999,-0.192,-0.17,-0.09625,-0.02475,0.08474999999999999,0.08850000000000001,0.058,0.15175,0.28125,0.49924999999999997,0.9149999999999999,-0.09749999938500001,-0.14875000089749998,-0.2312500004525,-0.272500002675,-0.23999999463333332,-0.11048375119500001,-0.027499999906499994,-0.2975,-0.25783475,-0.3175,-0.225,-0.13,-0.08,0.012500000000000004,0.0975,0.0475,0.69,0.225,0.3025,0.635,1.4425,9.8125,23.4845,18.155,6.642250000000001,6.222499999999999,11.2425,9.610000000000001,13.69,13.1025,16.265,8.0425,10.0575,15.0575,19.865000000000002,21.51,28.5175,80.0875,111.34000000000002,156.1275,368.7075,241.3233333333333,-0.18,-0.12874999999999998,-0.292,-0.315,-0.24,-0.013333333333333334,-0.158,-0.21175,-0.20224999999999999,-0.192,-0.17,-0.09625,-0.02475,0.08474999999999999,0.08850000000000001,0.058,0.15175,0.28125,0.49924999999999997,0.9149999999999999
0.41400000000000003,0.44425000000000003,0.47050000000000003,0.51825,0.55175,0.5745,0.6245,0.61975,0.69825,0.8114999999999999,0.9145000000000001,1.0335,1.15525,1.24825,0.48700000000000004,0.5375,0.51625,0.5382499999999999,0.605,0.7105,0.8009999999999999,0.39749999999999996,0.45,0.25,0.4475,0.44000000000000006,0.52,0.5425,0.2825,0.5800000000000001,0.7875,0.9225,0.7475,0.7525,0.9397977500000001,0.41000000000000003,0.375,0.7350000000000001,0.2325,0.065,0.3375,0.49666666666666665,18.50295,19.663775,22.690224999999998,19.09315,19.078575,20.12135,21.227475,21.932025,26.210749999999997,26.204775,23.708375000000004,23.877025,25.005025,31.079225,35.43,41.505,45.135,40.46,50.8625,66.64999999999999,82.57,0.4485,0.48075,0.55,0.5747500000000001,0.6027499999999999,0.63625,0.649,0.717,0.8047499999999999,0.9352499999999999,1.05025,1.1669999999999998,1.2662499999999999,0.85975,0.58,0.56125,0.58425,0.6200000000000001,0.7092499999999999,0.815
0.41400000000000003,0.44425000000000003,0.1825,0.221,0.2475,0.299,0.3545,0.3895,0.46499999999999997,0.6205,0.64275,0.64925,0.8154999999999999,0.91775,1.0397500000000002,1.10975,1.155,1.30275,1.445,1.6052499999999998,1.75575,0.39749999999999996,0.45,0.25,0.1475,0.265,0.315,0.39807375,0.4122435,0.51433475,0.68426575,0.6375000000000001,0.6975,0.8825000000000001,0.9950000000000001,1.27,1.1600000000000001,1.2175,1.6475,1.3900000000000001,1.615,1.8725,18.50295,19.663775,19.835,19.4925,20.5625,26.5825,25.2875,31.7575,39.4275,36.67,34.93,42.895,55.324999999999996,65.28,75.94749999999999,82.7975,98.3075,116.9975,132.93,157.075,184.38,0.4485,0.48075,0.21150000000000002,0.25875,0.2825,0.35,0.39575,0.46425000000000005,0.6167499999999999,0.6505,0.65875,0.8109999999999999,0.9179999999999999,1.038,1.112,1.1582499999999998,1.3014999999999999,1.43725,1.60975,1.75725
0.08574999999999999,0.1255,0.132,0.10899999999999999,0.13025,0.20325,0.26775,0.29225,0.3805,0.48675,0.373,0.4525,0.5559999999999999,0.57775,0.33849999999999997,0.27775,0.48375,0.7180000000000001,0.9955,1.63825,1.9069999999999998,0.12281249992500001,0.1506250054,0.10874999871749999,0.1012499997725,0.14249999955,0.236249998375,0.3075,0.214515,0.31,0.40307824999999997,0.185,0.3725,0.4175,0.42,0.14250000000000002,0.1275,0.3175,0.5875,0.86,1.32,1.4366666666666665,12.090825,32.0586,17.125,14.086374999999999,17.682499999999997,24.767500000000002,32.253750000000004,35.9625,42.059999999999995,33.935,29.877499999999998,29.682499999999997,29.2625,34.205000000000005,50.2225,69.9975,82.7775,100.27,148.9975,239.01999999999998,279.13,0.12125,0.1545,0.1315,0.12525,0.15775,0.24974999999999997,0.3015,0.36650000000000005,0.45175,0.42125,0.446,0.55375,0.61975,0.42925,0.28900000000000003,0.51325,0.7065,0.95525,1.4962500000000003,2.01825
