Country Name,Country Code,Year,Value
Arab World,ARB,2012,4.7
Arab World,ARB,2014,4.2
Arab World,ARB,2015,3.8
Caribbean small states,CSS,2012,29
Caribbean small states,CSS,2014,27.4
Caribbean small states,CSS,2015,31.5
Central Europe and the Baltics,CEB,2012,1.6
Central Europe and the Baltics,CEB,2014,1.3
Central Europe and the Baltics,CEB,2015,1.3
Early-demographic dividend,EAR,2012,6.8
Early-demographic dividend,EAR,2014,6.3
Early-demographic dividend,EAR,2015,6
East Asia & Pacific,EAS,2012,2
East Asia & Pacific,EAS,2014,1.5
East Asia & Pacific,EAS,2015,1.4
East Asia & Pacific (excluding high income),EAP,2012,2.1
East Asia & Pacific (excluding high income),EAP,2014,1.6
East Asia & Pacific (excluding high income),EAP,2015,1.5
East Asia & Pacific (IDA & IBRD countries),TEA,2012,2.1
East Asia & Pacific (IDA & IBRD countries),TEA,2014,1.5
East Asia & Pacific (IDA & IBRD countries),TEA,2015,1.4
Euro area,EMU,2012,1.1
Euro area,EMU,2014,1
Euro area,EMU,2015,1
Europe & Central Asia,ECS,2012,3.1
Europe & Central Asia,ECS,2014,3
Europe & Central Asia,ECS,2015,3.3
Europe & Central Asia (excluding high income),ECA,2012,5.6
Europe & Central Asia (excluding high income),ECA,2014,5.5
Europe & Central Asia (excluding high income),ECA,2015,6.1
Europe & Central Asia (IDA & IBRD countries),TEC,2012,5.2
Europe & Central Asia (IDA & IBRD countries),TEC,2014,5.1
Europe & Central Asia (IDA & IBRD countries),TEC,2015,5.7
European Union,EUU,2012,1.1
European Union,EUU,2014,1
European Union,EUU,2015,1
Fragile and conflict affected situations,FCS,2012,12.6
Fragile and conflict affected situations,FCS,2014,7.5
Fragile and conflict affected situations,FCS,2015,7.6
Heavily indebted poor countries (HIPC),HPC,2012,12.6
Heavily indebted poor countries (HIPC),HPC,2014,8.3
Heavily indebted poor countries (HIPC),HPC,2015,8.1
High income,HIC,2012,2.2
High income,HIC,2014,2
High income,HIC,2015,2.2
IBRD only,IBD,2012,5.8
IBRD only,IBD,2014,5.6
IBRD only,IBD,2015,5.6
IDA & IBRD total,IBT,2012,7
IDA & IBRD total,IBT,2014,5.9
IDA & IBRD total,IBT,2015,5.9
IDA blend,IDB,2012,11.9
IDA blend,IDB,2014,8
IDA blend,IDB,2015,7.7
IDA only,IDX,2012,10.4
IDA only,IDX,2014,6.7
IDA only,IDX,2015,6.5
IDA total,IDA,2012,10.9
IDA total,IDA,2014,7.1
IDA total,IDA,2015,6.9
Late-demographic dividend,LTE,2012,5
Late-demographic dividend,LTE,2014,4.6
Late-demographic dividend,LTE,2015,4.8
Latin America & Caribbean,LCN,2012,23.2
Latin America & Caribbean,LCN,2014,22.5
Latin America & Caribbean,LCN,2015,22.3
Latin America & Caribbean (excluding high income),LAC,2012,23.9
Latin America & Caribbean (excluding high income),LAC,2014,23.2
Latin America & Caribbean (excluding high income),LAC,2015,23
Latin America & the Caribbean (IDA & IBRD countries),TLA,2012,23.6
Latin America & the Caribbean (IDA & IBRD countries),TLA,2014,22.9
Latin America & the Caribbean (IDA & IBRD countries),TLA,2015,22.7
Least developed countries: UN classification,LDC,2012,10
Least developed countries: UN classification,LDC,2014,6.3
Least developed countries: UN classification,LDC,2015,6.2
Low & middle income,LMY,2012,7
Low & middle income,LMY,2014,6
Low & middle income,LMY,2015,5.9
Low income,LIC,2012,11.4
Low income,LIC,2014,7.4
Low income,LIC,2015,7.3
Lower middle income,LMC,2012,5.9
Lower middle income,LMC,2014,4.6
Lower middle income,LMC,2015,4.6
Middle East & North Africa,MEA,2012,3.8
Middle East & North Africa,MEA,2014,3.9
Middle East & North Africa,MEA,2015,3.4
Middle East & North Africa (excluding high income),MNA,2012,4.2
Middle East & North Africa (excluding high income),MNA,2014,3.9
Middle East & North Africa (excluding high income),MNA,2015,3.7
Middle East & North Africa (IDA & IBRD countries),TMN,2012,4.2
Middle East & North Africa (IDA & IBRD countries),TMN,2014,3.9
Middle East & North Africa (IDA & IBRD countries),TMN,2015,3.8
Middle income,MIC,2012,6.5
Middle income,MIC,2014,5.8
Middle income,MIC,2015,5.7
North America,NAC,2012,4.4
North America,NAC,2014,3.6
North America,NAC,2015,4.6
OECD members,OED,2012,4
OECD members,OED,2014,3.3
OECD members,OED,2015,3.6
Other small states,OSS,2012,11.4
Other small states,OSS,2014,10
Other small states,OSS,2015,9.2
Pacific island small states,PSS,2012,4
Pacific island small states,PSS,2014,3.5
Pacific island small states,PSS,2015,3.4
Post-demographic dividend,PST,2012,2.2
Post-demographic dividend,PST,2014,1.9
Post-demographic dividend,PST,2015,2.3
Pre-demographic dividend,PRE,2012,13.3
Pre-demographic dividend,PRE,2014,8.2
Pre-demographic dividend,PRE,2015,8.1
Small states,SST,2012,14.4
Small states,SST,2014,13
Small states,SST,2015,13
South Asia,SAS,2012,3.9
South Asia,SAS,2014,3.7
South Asia,SAS,2015,3.6
South Asia (IDA & IBRD),TSA,2012,3.9
South Asia (IDA & IBRD),TSA,2014,3.7
South Asia (IDA & IBRD),TSA,2015,3.6
Sub-Saharan Africa,SSF,2012,14.4
Sub-Saharan Africa,SSF,2014,9.5
Sub-Saharan Africa,SSF,2015,9.4
Sub-Saharan Africa (excluding high income),SSA,2012,14.4
Sub-Saharan Africa (excluding high income),SSA,2014,9.5
Sub-Saharan Africa (excluding high income),SSA,2015,9.4
Sub-Saharan Africa (IDA & IBRD countries),TSS,2012,14.4
Sub-Saharan Africa (IDA & IBRD countries),TSS,2014,9.5
Sub-Saharan Africa (IDA & IBRD countries),TSS,2015,9.4
Upper middle income,UMC,2012,7.2
Upper middle income,UMC,2014,7.2
Upper middle income,UMC,2015,7
World,WLD,2012,6.2
World,WLD,2014,5.3
World,WLD,2015,5.3
Afghanistan,AFG,2009,4.1
Afghanistan,AFG,2010,3.5
Afghanistan,AFG,2011,4.3
Afghanistan,AFG,2012,6.6
Albania,ALB,1995,6.68555175858664
Albania,ALB,1996,7.96762317768731
Albania,ALB,1997,49.8722145785992
Albania,ALB,1998,18.6097146607852
Albania,ALB,1999,16.1420237736862
Albania,ALB,2005,5
Albania,ALB,2006,3.1
Albania,ALB,2007,3.5
Albania,ALB,2008,3.1
Albania,ALB,2009,2.9
Albania,ALB,2010,4.4
Albania,ALB,2011,4.9
Albania,ALB,2012,5.5
Albania,ALB,2013,4.3
Albania,ALB,2014,4
Albania,ALB,2015,2.3
Algeria,DZA,2003,2
Algeria,DZA,2004,1.4
Algeria,DZA,2005,0.6
Algeria,DZA,2006,0.9
Algeria,DZA,2007,0.8
Algeria,DZA,2008,0.9
Algeria,DZA,2009,0.8
Algeria,DZA,2010,0.7
Algeria,DZA,2011,0.8
